url,total,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
http://data.gdeltproject.org/gdeltv2/20160922134500.gkg.csv.zip,2313,4,2,3,2,1,4,6,0,5,3,2
http://data.gdeltproject.org/gdeltv2/20210916224500.gkg.csv.zip,1284,6,0,3,1,1,11,0,0,3,2,1
http://data.gdeltproject.org/gdeltv2/20231115124500.gkg.csv.zip,816,1,1,6,1,1,1,1,3,2,3,1
http://data.gdeltproject.org/gdeltv2/20180406063000.gkg.csv.zip,1268,0,0,6,0,0,0,0,1,0,0,1
http://data.gdeltproject.org/gdeltv2/20210617151500.gkg.csv.zip,1113,4,3,2,3,0,0,0,2,0,2,0
http://data.gdeltproject.org/gdeltv2/20170127183000.gkg.csv.zip,3196,5,1,12,0,0,0,4,2,0,6,3
http://data.gdeltproject.org/gdeltv2/20230505083000.gkg.csv.zip,663,0,1,2,0,0,0,0,1,1,0,2
http://data.gdeltproject.org/gdeltv2/20231106200000.gkg.csv.zip,1293,1,0,2,0,0,0,0,2,0,0,7
http://data.gdeltproject.org/gdeltv2/20190220234500.gkg.csv.zip,2097,3,1,5,2,0,4,2,1,4,6,1
http://data.gdeltproject.org/gdeltv2/20210522211500.gkg.csv.zip,459,0,0,2,0,0,0,0,0,7,1,0
http://data.gdeltproject.org/gdeltv2/20181210010000.gkg.csv.zip,820,4,0,2,0,0,1,1,1,2,1,0
http://data.gdeltproject.org/gdeltv2/20180127124500.gkg.csv.zip,574,0,0,1,0,0,0,0,0,1,1,0
http://data.gdeltproject.org/gdeltv2/20180518010000.gkg.csv.zip,1710,2,1,2,2,0,0,0,1,0,1,3
http://data.gdeltproject.org/gdeltv2/20211202171500.gkg.csv.zip,1324,1,1,3,0,1,3,0,3,7,0,2
http://data.gdeltproject.org/gdeltv2/20160502231500.gkg.csv.zip,3303,13,3,2,1,2,2,2,12,5,0,3
http://data.gdeltproject.org/gdeltv2/20230130183000.gkg.csv.zip,1101,1,1,2,0,1,0,2,2,3,1,4
http://data.gdeltproject.org/gdeltv2/20200613201500.gkg.csv.zip,684,0,0,1,0,0,1,0,8,1,0,1
http://data.gdeltproject.org/gdeltv2/20171012014500.gkg.csv.zip,1883,7,0,12,0,0,0,1,3,0,8,5
http://data.gdeltproject.org/gdeltv2/20160321054500.gkg.csv.zip,1233,2,0,1,1,1,0,0,0,4,2,2
http://data.gdeltproject.org/gdeltv2/20201123080000.gkg.csv.zip,412,2,0,2,0,0,3,3,0,1,1,1
http://data.gdeltproject.org/gdeltv2/20181018150000.gkg.csv.zip,1932,0,2,4,0,0,0,0,5,0,3,1
http://data.gdeltproject.org/gdeltv2/20240212134500.gkg.csv.zip,673,1,0,3,1,0,0,1,1,1,0,0
http://data.gdeltproject.org/gdeltv2/20210403170000.gkg.csv.zip,564,0,0,1,0,0,0,0,1,1,0,0
http://data.gdeltproject.org/gdeltv2/20200512044500.gkg.csv.zip,834,2,0,3,1,2,11,5,0,1,3,2
http://data.gdeltproject.org/gdeltv2/20151221170000.gkg.csv.zip,1878,3,1,5,0,1,1,4,3,3,1,5
http://data.gdeltproject.org/gdeltv2/20240416200000.gkg.csv.zip,1348,4,2,2,0,0,0,0,1,1,12,0
http://data.gdeltproject.org/gdeltv2/20250301060000.gkg.csv.zip,414,0,0,2,0,0,0,0,0,2,0,2
http://data.gdeltproject.org/gdeltv2/20170929140000.gkg.csv.zip,2339,1,1,3,4,0,1,2,0,2,4,1
http://data.gdeltproject.org/gdeltv2/20211030141500.gkg.csv.zip,539,1,0,3,0,0,0,1,0,8,0,0
http://data.gdeltproject.org/gdeltv2/20241008113000.gkg.csv.zip,720,7,4,8,1,1,2,1,8,2,6,0
http://data.gdeltproject.org/gdeltv2/20220202114500.gkg.csv.zip,638,3,1,2,0,2,1,0,1,0,2,1
http://data.gdeltproject.org/gdeltv2/20150708133000.gkg.csv.zip,2503,6,2,3,1,0,4,14,4,4,0,1
http://data.gdeltproject.org/gdeltv2/20231203030000.gkg.csv.zip,325,2,0,0,2,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20230428180000.gkg.csv.zip,1482,3,0,4,0,0,0,3,3,2,2,2
http://data.gdeltproject.org/gdeltv2/20180714063000.gkg.csv.zip,872,4,1,3,0,0,7,2,0,1,2,0
http://data.gdeltproject.org/gdeltv2/20170428020000.gkg.csv.zip,1855,2,13,1,0,0,2,1,3,2,2,1
http://data.gdeltproject.org/gdeltv2/20250418161500.gkg.csv.zip,1061,0,1,4,0,0,4,7,4,0,1,2
http://data.gdeltproject.org/gdeltv2/20181217223000.gkg.csv.zip,2038,3,1,1,0,0,1,1,0,34,0,2
http://data.gdeltproject.org/gdeltv2/20190717030000.gkg.csv.zip,854,1,1,2,0,0,0,3,1,1,1,2
http://data.gdeltproject.org/gdeltv2/20170407090000.gkg.csv.zip,1310,0,2,1,0,0,1,1,0,29,0,2
http://data.gdeltproject.org/gdeltv2/20250702214500.gkg.csv.zip,408,0,0,3,1,3,0,3,5,0,2,0
http://data.gdeltproject.org/gdeltv2/20210112101500.gkg.csv.zip,779,0,2,3,0,0,1,3,6,0,1,3
http://data.gdeltproject.org/gdeltv2/20241216064500.gkg.csv.zip,508,1,1,7,1,0,0,0,0,0,5,0
http://data.gdeltproject.org/gdeltv2/20160527224500.gkg.csv.zip,2753,5,3,2,0,0,5,1,1,0,3,1
http://data.gdeltproject.org/gdeltv2/20170327204500.gkg.csv.zip,3054,3,0,6,1,3,7,8,3,11,6,4
http://data.gdeltproject.org/gdeltv2/20220215040000.gkg.csv.zip,671,0,0,2,5,0,0,0,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20210326001500.gkg.csv.zip,1303,4,1,7,0,0,0,2,0,3,3,1
http://data.gdeltproject.org/gdeltv2/20200429013000.gkg.csv.zip,1117,1,0,4,2,0,5,0,5,1,0,1
http://data.gdeltproject.org/gdeltv2/20240731014500.gkg.csv.zip,1123,1,0,1,0,0,0,0,0,0,0,5
http://data.gdeltproject.org/gdeltv2/20191117011500.gkg.csv.zip,656,0,0,1,0,0,0,0,0,0,2,1
http://data.gdeltproject.org/gdeltv2/20231221211500.gkg.csv.zip,1174,2,0,3,0,0,0,0,0,12,0,4
http://data.gdeltproject.org/gdeltv2/20230629010000.gkg.csv.zip,1174,0,0,4,0,0,2,0,0,2,0,2
http://data.gdeltproject.org/gdeltv2/20190830011500.gkg.csv.zip,1385,4,2,1,0,0,0,1,0,4,1,2
http://data.gdeltproject.org/gdeltv2/20190905010000.gkg.csv.zip,1571,6,1,1,0,0,0,3,0,0,0,3
http://data.gdeltproject.org/gdeltv2/20250716101500.gkg.csv.zip,412,3,0,5,0,1,1,0,1,1,4,1
http://data.gdeltproject.org/gdeltv2/20151020100000.gkg.csv.zip,1184,3,1,5,1,1,0,4,2,2,6,4
http://data.gdeltproject.org/gdeltv2/20230709091500.gkg.csv.zip,153,0,0,0,0,0,0,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20180615014500.gkg.csv.zip,1634,5,0,2,0,0,1,3,1,1,0,4
http://data.gdeltproject.org/gdeltv2/20160707123000.gkg.csv.zip,2047,2,3,2,1,0,0,2,4,3,2,3
http://data.gdeltproject.org/gdeltv2/20170208094500.gkg.csv.zip,1428,0,0,4,0,0,0,1,2,0,1,1
http://data.gdeltproject.org/gdeltv2/20190915061500.gkg.csv.zip,505,1,0,0,0,1,2,1,1,0,0,5
http://data.gdeltproject.org/gdeltv2/20210516230000.gkg.csv.zip,402,0,1,0,0,0,0,0,0,6,0,2
http://data.gdeltproject.org/gdeltv2/20210705091500.gkg.csv.zip,409,1,0,1,0,0,1,0,3,2,2,0
http://data.gdeltproject.org/gdeltv2/20180721153000.gkg.csv.zip,835,1,0,0,0,0,0,3,1,1,1,0
http://data.gdeltproject.org/gdeltv2/20170518201500.gkg.csv.zip,3349,1,0,1,1,2,0,0,0,6,2,0
http://data.gdeltproject.org/gdeltv2/20180907223000.gkg.csv.zip,2242,1,1,8,9,1,1,2,3,0,2,1
http://data.gdeltproject.org/gdeltv2/20210619114500.gkg.csv.zip,364,0,0,0,0,0,1,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20220304224500.gkg.csv.zip,1143,2,1,2,0,0,1,0,2,0,0,0
http://data.gdeltproject.org/gdeltv2/20230214104500.gkg.csv.zip,416,0,1,0,0,0,0,0,0,1,0,1
http://data.gdeltproject.org/gdeltv2/20170505203000.gkg.csv.zip,2988,11,1,9,0,1,4,9,3,2,0,7
http://data.gdeltproject.org/gdeltv2/20150929000000.gkg.csv.zip,1951,5,2,9,0,0,2,2,2,6,1,5
http://data.gdeltproject.org/gdeltv2/20220312063000.gkg.csv.zip,385,4,1,0,0,0,0,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20200504120000.gkg.csv.zip,893,1,1,0,1,1,3,1,0,0,2,0
http://data.gdeltproject.org/gdeltv2/20240821213000.gkg.csv.zip,1592,4,1,2,0,0,3,4,2,0,1,2
http://data.gdeltproject.org/gdeltv2/20180906204500.gkg.csv.zip,2747,5,0,1,1,0,2,4,2,5,8,3
http://data.gdeltproject.org/gdeltv2/20220204021500.gkg.csv.zip,714,1,0,6,1,0,0,0,1,1,0,1
http://data.gdeltproject.org/gdeltv2/20250408081500.gkg.csv.zip,391,1,0,0,0,0,0,0,1,1,3,0
http://data.gdeltproject.org/gdeltv2/20221203134500.gkg.csv.zip,330,0,1,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20190701091500.gkg.csv.zip,555,3,0,1,0,0,0,0,2,0,0,0
http://data.gdeltproject.org/gdeltv2/20190516214500.gkg.csv.zip,2189,1,2,4,1,1,4,1,0,11,1,1
http://data.gdeltproject.org/gdeltv2/20200829180000.gkg.csv.zip,719,2,0,0,0,0,0,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20160724160000.gkg.csv.zip,1144,3,2,10,0,0,2,1,2,3,4,1
http://data.gdeltproject.org/gdeltv2/20170518101500.gkg.csv.zip,1351,3,0,19,0,5,1,0,2,4,1,0
http://data.gdeltproject.org/gdeltv2/20180713180000.gkg.csv.zip,2275,0,4,13,0,0,0,0,1,2,0,2
http://data.gdeltproject.org/gdeltv2/20160224163000.gkg.csv.zip,2527,16,0,9,1,2,3,5,4,1,6,4
http://data.gdeltproject.org/gdeltv2/20190225184500.gkg.csv.zip,2269,5,2,7,1,0,0,3,2,1,3,6
http://data.gdeltproject.org/gdeltv2/20170930170000.gkg.csv.zip,1238,3,0,4,0,0,5,5,1,0,0,0
